label	endpoint	target_rps	requests	errors	p50_ms	p95_ms	p99_ms	rps	cpu_ms_per_req	late_starts
agent-off	direct	300	6000	0	24.157	27.378	45.541	299.7	5.545	0
agent-off	direct	600	12000	0	22.62	26.26	247.006	599.3	2.532	0
agent-off	direct	900	18000	4957	23.752	1955.357	2370.013	652.0	3.78	3596
agent-off	direct	1200	24000	15694	21.597	1526.976	1971.408	415.0	7.392	6165
agent-off	direct	1500	30000	15713	1406.136	1848.813	2178.648	672.9	5.18	29488
agent-on	direct	300	6000	0	24.191	29.985	78.043	299.7	5.542	0
agent-on	direct	600	12000	0	22.707	39.687	142.462	599.4	2.681	0
agent-on	direct	900	18000	5484	24.101	1713.438	2113.531	625.5	4.228	3204
agent-on	direct	1200	24000	16191	42.646	1827.275	2130.95	390.1	8.233	4379
agent-on	direct	1500	30000	12949	1721.311	2326.014	2418.699	786.0	4.447	29488
