label	endpoint	requests	concurrency	errors	p50_ms	p95_ms	p99_ms	mean_ms	rps	cpu_cores	ioctl
agent-off	direct	4000	16	0	23.68	30.689	37.306	25.551	618.0	2.393	28194
agent-off	hop	4000	16	0	55.162	59.788	71.39	56.692	280.1	1.500	28035
agent-on	direct	4000	16	0	24.584	33.374	42.471	26.625	591.6	2.390	307011
agent-on	hop	4000	16	0	55.673	67.727	94.691	58.422	270.9	1.631	339436
agent-on	direct	4000	16	0	24.614	32.73	42.674	26.772	589.4	2.445	312695
agent-on	hop	4000	16	0	56.427	68.791	91.331	58.896	269.4	1.790	337407
agent-off	direct	4000	16	0	23.954	30.9	39.653	25.823	607.3	2.301	28180
agent-off	hop	4000	16	0	55.644	61.422	77.084	57.222	277.3	1.610	28036
agent-off	direct	4000	16	0	24.159	31.564	41.973	26.046	602.6	2.277	28158
agent-off	hop	4000	16	0	55.479	61.113	78.947	57.138	277.7	1.618	28040
agent-on	direct	4000	16	0	24.45	33.167	50.851	26.781	588.6	2.384	308614
agent-on	hop	4000	16	0	55.78	62.151	127.439	58.433	270.3	1.732	342560
agent-on	direct	4000	16	0	25.302	35.966	51.709	27.587	570.7	2.472	303066
agent-on	hop	4000	16	0	56.039	62.844	113.259	58.609	269.9	1.685	338870
agent-off	direct	4000	16	0	24.284	32.942	44.894	26.622	593.1	2.268	28172
agent-off	hop	4000	16	0	55.708	62.247	79.987	57.574	274.8	1.541	28027
agent-off	direct	4000	16	0	24.377	32.249	42.455	26.493	594.5	2.317	28152
agent-off	hop	4000	16	0	55.822	61.008	71.968	57.385	276.3	1.616	28040
agent-on	direct	4000	16	0	24.781	33.642	49.984	26.946	580.8	2.426	309157
agent-on	hop	4000	16	0	56.325	63.87	163.243	59.645	266.2	1.754	338172
