label	endpoint	target_rps	requests	errors	p50_ms	p95_ms	p99_ms	rps	cpu_ms_per_req	late_starts	error_kinds	syn_retrans	listen_overflows	listen_drops	steal_pct
agent-off	direct	600	12000	0	23.295	27.219	95.907	598.8	5.105	0	-	0	0	0	0.04
agent-off	direct	900	18000	0	22.615	24.059	33.148	898.3	2.488	0	-	0	0	0	0.03
agent-off	direct	1200	24000	0	21.785	22.995	31.351	1197.9	1.554	0	-	0	0	0	0.01
agent-off	direct	1500	30000	0	21.912	23.023	27.948	1496.8	1.499	0	-	0	0	0	0.01
agent-off	direct	2000	40000	0	21.375	23.159	42.224	1996.5	1.617	40	-	0	0	0	0.01
agent-off	direct	2500	50000	0	21.406	299.899	810.329	2493.2	1.547	2960	-	0	0	0	0.02
agent-off	direct	3000	60000	0	21.399	102.098	731.1	2993.5	1.54	2656	-	0	0	0	0.02
agent-on	direct	600	12000	0	23.138	26.789	115.828	598.9	5.126	0	-	0	0	0	0.02
agent-on	direct	900	18000	0	22.571	24.554	73.815	898.3	2.598	0	-	0	0	0	0.02
agent-on	direct	1200	24000	0	21.81	23.807	34.946	1197.7	1.749	0	-	0	0	0	0.01
agent-on	direct	1500	30000	0	21.921	24.341	90.866	1496.2	1.828	16	-	0	0	0	0.02
agent-on	direct	2000	40000	0	21.336	22.902	32.208	1996.9	1.728	0	-	0	0	0	0.02
agent-on	direct	2500	50000	0	21.447	252.754	837.613	2493.8	1.731	2790	-	0	0	0	0.02
agent-on	direct	3000	60000	0	21.568	74.972	475.939	2993.8	1.671	1983	-	0	0	0	0.02
